Rank,Channel,Channel Id,Channel URL,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Language Id
61,pokimane,112657,pokimane,1569249870,62460,138482,25124,7469172,3440098,67098789,True,False,English,0
62,GMHikaru,11184008,gmhikaru,1535076075,124305,80730,12349,1127118,1025941,74584080,True,False,English,0
63,tommyinnit,10643505,tommyinnit,1528756020,30465,650237,50180,4355353,4239797,37582179,True,False,English,0
64,JLTomy,11016752,jltomy,1523130210,118440,42079,12859,528196,271127,17833106,True,False,French,0
65,buster,4762906,buster,1520742975,59430,114596,25588,1699632,1460647,68099148,True,False,Russian,0
66,loud_coringa,32760796,loud_coringa,1519087440,38775,143870,39176,1439362,1316264,11902225,True,False,Portuguese,0
67,Cellbit,3966453,cellbit,1508542980,103575,103686,14564,1997489,995538,32755129,True,False,Portuguese,0
68,Baiano,9072198,baiano,1497438540,113910,130745,13145,585247,468330,32718481,True,True,Portuguese,0
69,NoWay4u_Sir,27769,noway4u_sir,1490237340,152565,39459,9767,435149,102508,24738761,True,False,German,0
70,Fresh,16007613,fresh,1478512905,119490,57431,12373,4163082,2412964,32762574,True,False,English,0
71,Sardoche,934408,sardoche,1465587180,172140,144066,8513,962611,434754,34779421,True,False,French,0
72,forsen,194103,forsen,1456397835,108375,56262,13438,1528363,274257,22365430,True,True,English,0
73,BLASTPremier,12560979,blastpremier,1455302505,34410,208744,42293,846340,491913,45634743,True,False,English,0
74,Solary,12265994,solary,1444931385,501660,20750,2880,542166,120882,44694618,True,False,French,0
75,Elraenn,11219281,elraenn,1416061770,55860,83351,25350,2088265,1283260,39536266,True,True,Turkish,0
76,AdmiralBahroo,4734,admiralbahroo,1375218030,147840,34541,9302,818551,60450,14073231,True,False,English,0
77,Trainwreckstv,45728,trainwreckstv,1360617795,132540,82731,10265,1233167,689319,21485089,True,True,English,0
78,SilverName,187383,silvername,1352467710,105990,27680,12760,674646,116713,33410853,True,False,Russian,0
79,ONSCREEN,126373,onscreen,1348119810,142035,88516,9491,921062,669881,31890985,True,False,English,0
80,OgamingLoL,620,ogaminglol,1333365330,418515,134521,3185,550204,80444,62044279,True,False,French,0
81,Gorgc,3691316,gorgc,1330417680,137055,32868,9707,444339,105658,22403737,True,True,English,0
82,SmiteGame,4957,smitegame,1327734240,368235,79597,3605,607297,130735,20364593,True,False,English,0
83,Reborn_Live,3250020,reborn_live,1320432480,77340,113707,17073,1601568,1601416,31958811,True,False,Spanish,0
84,nl_Kripp,36400,nl_kripp,1313469225,159120,36027,8254,1390465,29643,17745373,True,False,English,0
85,BeyondTheSummit,16809,beyondthesummit,1301008530,509490,65878,2553,975020,87367,39631968,True,False,English,0
86,elded,35937,elded,1295369625,127755,44758,10139,3779902,1919725,26574499,True,False,Spanish,0
87,ZanoXVII,890587,zanoxvii,1236457350,102855,145938,12021,1019675,702460,12521800,True,False,Italian,0
88,dasMEHDI,27659,dasmehdi,1227552705,249030,47683,4929,369551,103050,9129590,True,True,English,0
89,benjyfishy,11413667,benjyfishy,1227355440,49275,103559,24908,3136839,2448814,47653675,True,False,English,0
90,Kamet0,211156,kamet0,1213417785,186720,85696,6498,791483,365449,31196442,True,False,French,0
91,Yassuo,5432428,yassuo,1213344645,119805,70587,10127,2006097,576051,32764576,True,False,English,0
92,서새봄냥 (saddummy),8358078,saddummy,1207919520,197880,35474,6104,615510,57706,36230408,True,False,Korean,0
93,TSM_ImperialHal,11938220,tsm_imperialhal,1188062925,146265,45934,8122,661452,540111,22383900,True,False,English,0
94,NickEh30,10594172,nickeh30,1176625305,113985,85073,10322,2759751,1879412,34555810,True,False,English,0
95,LVPes,613,lvpes,1170754650,95415,95207,12270,708980,183398,59619260,True,False,Spanish,0
96,Bugha,7580859,bugha,1169508765,95535,62529,12241,4141126,2545222,44302441,True,False,English,0
97,HusKerrs,3065610,huskerrs,1167878130,161430,39433,7234,706114,631281,18009488,True,False,English,0
98,GRONKH,99482,gronkh,1157303655,66180,50517,17487,1318707,186363,16757249,True,True,German,0
99,Hiko,129774,hiko,1156506870,93345,42136,12389,1338901,806385,29063506,True,False,English,0
100,SolaryFortnite,13948864,solaryfortnite,1138424130,424725,40703,2680,1658994,440545,30915668,True,False,French,0
